Year,Category,Film,FilmId,Nominees,Winner
1954,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,World Without End,,,TRUE
1954,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Johnny on the Run,,,FALSE
1954,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Teeth of the Wind,,,FALSE
1955,Animated Film,Song Of The Prairie (Arie Prerie),,,TRUE
1955,Animated Film,Little Brave Heart,,,FALSE
1955,Animated Film,Power To Fly,,,FALSE
1955,Animated Film,The Unicorn In The Garden,,,FALSE
1955,British Actor,Kenneth More,,Doctor In The House,TRUE
1955,British Actor,Maurice Denham,,The Purple Plain,FALSE
1955,British Actor,Robert Donat,,Lease Of Life,FALSE
1955,British Actor,John Mills,,Hobson's Choice,FALSE
1955,British Actor,David Niven,,Carrington VC,FALSE
1955,British Actor,Donald Wolfit,,Svengali,FALSE
1955,British Actress,Yvonne Mitchell,,The Divided Heart,TRUE
1955,British Actress,Brenda De Banzie,,Hobson's Choice,FALSE
1955,British Actress,Audrey Hepburn,,Sabrina Fair,FALSE
1955,British Actress,Margaret Leighton,,Carrington VC,FALSE
1955,British Actress,Noelle Middleton,,Carrington VC,FALSE
1955,British Film,Hobson's Choice,,,TRUE
1955,British Film,Carrington VC,,,FALSE
1955,British Film,The Divided Heart,,,FALSE
1955,British Film,Doctor In The House,,,FALSE
1955,British Film,"For Better, For Worse",,,FALSE
1955,British Film,The Maggie,,,FALSE
1955,British Film,The Purple Plain,,,FALSE
1955,British Film,Romeo And Juliet,,,FALSE
1955,British Film,The Young Lovers,,,FALSE
1955,British Screenplay,The Young Lovers,,"George Tabori, Robin Estridge",TRUE
1955,British Screenplay,The Divided Heart,,Jack Whittingham,FALSE
1955,British Screenplay,Doctor In The House,,Nicholas Phipps,FALSE
1955,British Screenplay,Hobson's Choice,,"David Lean, Norman Spencer, Wynyard Browne",FALSE
1955,British Screenplay,The Knave Of Hearts,,"Hugh Mills, René Clément",FALSE
1955,British Screenplay,The Maggie,,William Rose,FALSE
1955,British Screenplay,The Purple Plain,,Eric Ambler,FALSE
1955,British Screenplay,Romeo And Juliet,,Renato Castellani,FALSE
1955,Documentary,The Great Adventure (Det Stora Äventyret),,,TRUE
1955,Documentary,Back Of Beyond,,,FALSE
1955,Documentary,Lekko!,,,FALSE
1955,Documentary,3-2-1-Zero,,,FALSE
1955,Documentary,Thursday's Children,,,FALSE
1955,Film From Any Source,Wages Of Fear (Le Salaire De La Peur),,,TRUE
1955,Film From Any Source,The Adventures Of Robinson Crusoe (Las Aventuras De Robinson Crusoe),,,FALSE
1955,Film From Any Source,The Caine Mutiny,,,FALSE
1955,Film From Any Source,Carrington VC,,,FALSE
1955,Film From Any Source,The Divided Heart,,,FALSE
1955,Film From Any Source,Doctor In The House,,,FALSE
1955,Film From Any Source,Executive Suite,,,FALSE
1955,Film From Any Source,"For Better, For Worse",,,FALSE
1955,Film From Any Source,Gate Of Hell (Jigokumon),,,FALSE
1955,Film From Any Source,Hobson's Choice,,,FALSE
1955,Film From Any Source,How To Marry A Millionaire,,,FALSE
1955,Film From Any Source,The Maggie,,,FALSE
1955,Film From Any Source,The Moon Is Blue,,,FALSE
1955,Film From Any Source,On the Waterfront,,,FALSE
1955,Film From Any Source,"Bread, Love And Dreams (Pane, Amore E Fantasia)",,,FALSE
1955,Film From Any Source,The Purple Plain,,,FALSE
1955,Film From Any Source,Rear Window,,,FALSE
1955,Film From Any Source,Riot In Cell Block 11,,,FALSE
1955,Film From Any Source,Romeo And Juliet,,,FALSE
1955,Film From Any Source,Seven Brides For Seven Brothers,,,FALSE
1955,Film From Any Source,The Young Lovers,,,FALSE
1955,Foreign Actor,Marlon Brando,,On The Waterfront,TRUE
1955,Foreign Actor,Neville Brand,,Riot In Cell Block 11,FALSE
1955,Foreign Actor,José Ferrer,,The Caine Mutiny,FALSE
1955,Foreign Actor,Fredric March,,Executive Suite,FALSE
1955,Foreign Actor,James Stewart,,The Glenn Miller Story,FALSE
1955,Foreign Actress,Cornell Borchers,,The Divided Heart,TRUE
1955,Foreign Actress,Shirley Booth,,About Mrs Leslie,FALSE
1955,Foreign Actress,Judy Holliday,,Phffft,FALSE
1955,Foreign Actress,Grace Kelly,,Dial M For Murder,FALSE
1955,Foreign Actress,Gina Lollobrigida,,"Bread, Love And Dreams (Pane, Amore E Fantasia)",FALSE
1955,Most Promising Newcomer To Film,David Kossoff,,The Young Lovers,TRUE
1955,Most Promising Newcomer To Film,Maggie McNamara,,The Moon is Blue,FALSE
1955,Most Promising Newcomer To Film,Eva Marie Saint,,On the Waterfront,FALSE
1955,Special Award,Time Out Of War,,,TRUE
1955,Special Award,Axel Petersen (Doderhultarn),,,FALSE
1955,Special Award,The Origin Of Coal (Coal Mining As A Craft Part 1),,,FALSE
1955,Special Award,Powered Flight: The Story of the Century,,,FALSE
1955,Special Award,The Living Desert,,,FALSE
1955,Special Award,The Drawings Of Leonardo Da Vinci,,,FALSE
1955,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Divided Heart,,,TRUE
1955,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Time Out Of War,,,FALSE
1956,Animated Film,Blinkity Blank,,,TRUE
1956,Animated Film,Animal Farm,,,FALSE
1956,Animated Film,Down A Long Way,,,FALSE
1956,Animated Film,Fudget's Budget,,,FALSE
1956,Animated Film,The Lady And The Tramp,,,FALSE
1956,Animated Film,Magoo Express,,,FALSE
1956,British Actor,Laurence Olivier,,Richard III,TRUE
1956,British Actor,Alfie Bass,,The Bespoke Overcoat,FALSE
1956,British Actor,Alec Guinness,,The Prisoner,FALSE
1956,British Actor,Jack Hawkins,,The Prisoner,FALSE
1956,British Actor,David Kossoff,,A Kid For Two Farthings,FALSE
1956,British Actor,Kenneth More,,The Deep Blue Sea,FALSE
1956,British Actor,Michael Redgrave,,The Night My Number Came Up,FALSE
1956,British Actress,Katie Johnson,,The Ladykillers,TRUE
1956,British Actress,Margaret Johnson,,Touch And Go,FALSE
1956,British Actress,Deborah Kerr,,The End Of The Affair,FALSE
1956,British Actress,Margaret Lockwood,,Cast A Dark Shadow,FALSE
1956,British Film,Richard III,,,TRUE
1956,British Film,The Colditz Story,,,FALSE
1956,British Film,The Dambusters,,,FALSE
1956,British Film,The Ladykillers,,,FALSE
1956,British Film,The Night My Number Came Up,,,FALSE
1956,British Film,The Prisoner,,,FALSE
1956,British Film,Simba,,,FALSE
1956,British Screenplay,The Ladykillers,,William Rose,TRUE
1956,British Screenplay,The Constant Husband,,"Sidney Gilliat, Val Valentine",FALSE
1956,British Screenplay,The Dambusters,,RC Sherriff,FALSE
1956,British Screenplay,The Deep Blue Sea,,Terence Rattigan,FALSE
1956,British Screenplay,Doctor At Sea,,"Nicholas Phipps, Jack Davies",FALSE
